beat,count(C.CrimeID),arrests_ratio
235,1356,0.0449852507374631%
1214,3253,0.0541039040885337%
1932,1631,0.0564071122011036%
233,1638,0.057997557997558%
1814,2164,0.0609981515711645%
1813,1143,0.0621172353455818%
1935,2595,0.0662813102119461%
1811,1786,0.0683090705487122%
1215,2304,0.0685763888888889%
1912,1740,0.0689655172413793%
