beat,count(C.CrimeID),arrests_ratio
1653,550,0.478181818181818%
1112,5611,0.46943503831759%
1652,189,0.465608465608466%
1134,3998,0.450225112556278%
1131,3435,0.441630276564774%
1121,4372,0.430237877401647%
1132,5049,0.40958605664488%
1115,2680,0.391417910447761%
1011,5088,0.365959119496855%
1122,4252,0.365710253998119%
